Localidade,Name,Location,Runes,Loot,Stance,Pref. dmg. type,Resistencia
Altus Plateau,Ancient Dragon Lansseax (1st location),Next to Abandoned Coffin SoG,0,Behold nothing,120,"🩸 Sangramento, ❄️ Congelamento.","⚡ Raio (óbvio), 🩸 Sangramento, ❄️ Congelamento."
Altus Plateau,Ancient Dragon Lansseax (2nd location),Next to Rampartside Path SoG ,"60,000",Lansseax's Glaive,120,"🩸 Sangramento, ❄️ Congelamento.","⚡ Raio (óbvio), 🩸 Sangramento, ❄️ Congelamento."
Altus Plateau,"Miranda, the Blighted Bloom and Omenkiller",Perfumer's Grotto,"8,400",Great Omenkiller Cleaver,100/75,"Miranda: 🔥 Fogo. Omenkiller: 🩸 Sangramento, ❄️ Congelamento.","Miranda:  🔷 Magia. Omenkiller:  🔥 Fogo, 🩸 Sangramento."
Altus Plateau,"Eleonora, Violet Bloody Finger",Second Church of Marika,"3,116",Eleonora's Poleblade; Purifying Crystal Tear,N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Altus Plateau,Magnus the Beast Claw,Writheblood Ruins,234,Great Stars; Somber Smithing Stone 6; Furlcalling Finger Remedy; Rune Arc,N/A,🩸 Sangramento., 🩸 Sangramento.
Altus Plateau,Rileigh the Idle,Volcano Manor Marker,"1,828",Rune Arc; Furlcalling Finger Remedy; Crepus's Vial; 20x Black Key Bolt,N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Ashen Capital,"Godfrey, First Elden Lord/Hoarah Loux, Warrior",Next to Queen's Bedchamber SoG,"300,000",Remembrance of Hoarah Loux,120,"❄️ Congelamento, 🩸 Sangramento (menos resistente na Fase 2).","❄️ Congelamento, 🩸 Sangramento (menos resistente na Fase 2)."
Ashen Capital,Radagon of the Golden Order/Elden Beast,Inside the Erdtree,"500,000",Elden Remembrance,120/150,"Radagon: 🩸 Sangramento, ❄️ Congelamento. Elden Beast: 🩸 Sangramento, ❄️ Congelamento.","radagon:  🩸 Sangramento, ❄️ Congelamento. Elden Beast: 🙌🏻 Sagrado, Magia."
Ashen Capital,"Sir Gideon Onfir, the All-Knowing",Next to Erdtree Sanctuary SoG,"150,000",All-Knowing Set; Scepter of the All-Knowing,N/A,"Dano 👊🏻 Físico, 🩸 Sangramento, ❄️ Congelamento.","🔷 Magia, 🙌🏻 Sagrado, 🔥 Fogo (leve).  🩸 Sangramento, ❄️ Congelamento."
Caelid,2x Clearnot Knight (Spear and Sickle),Abandoned Cave,"7,000",Gold Scarab Talisman,65,"🩸 Sangramento, ❄️ Congelamento, 🤺 Perfuração (Pierce).","  🍁 Podridão Escarlate.  🩸 Sangramento, ❄️ Congelamento."
Caelid,2x Mad Pumpking Heads (Hammer and Flail),Caelem Ruins,"6,300",Visage Shield,65,"🤺 Perfuração (Pierce), 🩸 Sangramento (no corpo, não no elmo).", 👊🏻 Dano Físico (especialmente em seu elmo).  🩸 Sangramento.
Caelid,Battlemage Hugues,Sellia Evergaol,"7,800",Battlemage Hugues Spirit Ashes,65,"Dano 👊🏻 Físico (especialmente 🏏 Acerto/Strike), 🩸 Sangramento, ❄️ Congelamento.",🔷 Magia.
Caelid,Frenzied Duelist,Gaol Cave,"6,700",Putrid Corpse Ashes,65,"🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
Caelid,Nox Swordstress and Nox Monk,"In front of Sellia, Town of Sorcery","6,400","Nox Flowing Sword, Lusat's Glintstone Staff",65,"Dano 👊🏻 Físico, 🩸 Sangramento, ❄️ Congelamento.","🔷 Magia, 🙌🏻 Sagrado."
Caelid,"3x Crystalians (Spear, Staff and Disk)",Sellia Hideaway,"9,000",Crystal Torrent,70,🏏 Acerto (Strike) (altamente vulnerável)., ⚔️ Corte (Slash) e 🤺 Perfuração (Pierce). Fraco a Acerto (Strike).
Caelid,Cemetery Shade,Caelid Catacombs,"6,800",2x Kindred of Rot Ashes,70,"Dano 🙌🏻 Sagrado, 🔥 Fogo.","❄️ Congelamento, 🩸 Sangramento."
Caelid,2x Edrtree Burial Watchdog,Minor Erdtree Catacombs,"7,400",Mad Pumpking Head Ashes,80,"🏏 Acerto (Strike), 🔥 Fogo, Dano 🙌🏻 Sagrado (menos do que esperaria).","  🤺 Perfuração (Thrust).  🩸 Sangramento, ❄️ Congelamento."
Caelid,Night's Cavalry,Next to Aeonia Swamp South SoG,"8,500",Ash of War: Poison Moth Flight,80,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento e ❄️ Congelamento (variação por arma).
Caelid,Commander O'Neil,Heart of Aeonia,"12,000",Commander's Standard; Unalloyed Gold Needle,90,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.","  🍁 Podridão Escarlate (ele mesmo aplica).  🩸 Sangramento, ❄️ Congelamento."
Caelid,Fallingstar Beast,Sellia Crystal Tunnel,"7,600",Somberstone Miner's Bell Bearing (1); Somber Smithing Stone (6); 5x Smithing Stone (7); 4x Gravity Stone Chunk,100,"Dano de 🤺 Perfuração (Pierce), 🩸 Sangramento, ❄️ Congelamento."," 🔷 Magia e Gravidade.  🩸 Sangramento, ❄️ Congelamento."
Caelid,Decaying Ekzykes,In front of Cathedral of Dragon Communion,"38,000",Dragon Heart,120,"🩸 Sangramento, ❄️ Congelamento.", 🔥 Fogo (óbvio). Imune a  🍁 Podridão Escarlate (ele mesmo aplica).
Caelid,Magma Wyrm,Gael Tunnel,"7,500",Moonveil Katana,120,"❄️ Congelamento, 🩸 Sangramento.","  🔥 Fogo. Imune a Magma.  🩸 Sangramento, ❄️ Congelamento."
Caelid,Putrid Avatar,Minor Erdtree West,"9,600",Greenburst Crystal Tear; Flame-Shrouding Cracked Tear,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.",  🙌🏻 Sagrado. Imune a  🍁 Podridão Escarlate (ele mesmo aplica).
Caelid,Putrid Tree Spirit,War-Dead Catacombs,"64,000",Redmane Knight Ogha Spirit Ashes; Golden Seed,120,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo. Imune a Morte,  🍁 Podridão Escarlate (ele mesmo aplica)."
Caelid,Death Rite Bird,Next to Aeonia Swamp South SoG,"15,000",Death'S Poker,120,"Dano 👊🏻 Físico (especialmente Standard), 🩸 Sangramento.",Imune a Morte.   🙌🏻 Sagrado e 🔥 Fogo.
Caelid,Millicent,Southwest of Heart of Aeonia,316,"5x Sacramental Bud; Golden Rune (3); Golden Rune (5), Golden Rune (10)",N/A,"Não é um chefe de combate, mas uma NPC aliada.","Não é um chefe de combate, mas uma NPC aliada. Não possui resistências de boss."
Caelid,Crucible Knight and Misbegotten Warrior,Redmane Castle Plaza,"16,000",Ruins Greatsword,80,"Crucible Knight: 🩸 Sangramento, ❄️ Congelamento, 🔷 Magia. Misbegotten: 🩸 Sangramento.",Crucible Knight:  🙌🏻 Sagrado. Misbegotten:  🩸 Sangramento.
Capital Outskirts,Grave Warden Duelist,Auriza Side Tomb,"15,000",Soldjars of Fortune Ashes,65,"🙌🏻 Sagrado, 🏏 Acerto (Strike).", 🩸 Sangramento e ❄️ Congelamento.
Capital Outskirts,Onyx Lord,Sealed Tunnel,"16,000",Onyx Lord's Greatswrord,65,"🩸 Sangramento, ❄️ Congelamento.","🔷 Magia, Gravidade.  🩸 Sangramento, ❄️ Congelamento."
Capital Outskirts,2x Crucible Knight,Auriza Hero's Grave,"28,000",Crucible Armor Set; Ordovis's Greatsword,80,"🩸 Sangramento, ❄️ Congelamento, 🔷 Magia.","  🙌🏻 Sagrado.  🩸 Sangramento, ❄️ Congelamento."
Capital Outskirts,Bell Bearing Hunter,Hermit Merchant's Shack,"20,000",Medicine Peddler's Bell Bearing,80,"🔷 Magia, 🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
Capital Outskirts,Draconic Tree Sentinel,Blocking the way to Capital Rampart SoG,"50,000","Dragon Greatclaw, Dragonclaw Shield",80,"🩸 Sangramento, ❄️ Congelamento.","⚡ Raio (óbvio), 🩸 Sangramento (moderado), ❄️ Congelamento (moderado)."
Capital Outskirts,Tree Sentinel Duo,On the way to Outer Wall Phantom Tree SoG,"20,000",Hero's Rune; Erdtree Greatshield,80,"🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento (moderado), ❄️ Congelamento (moderado)."
Capital Outskirts,Deathbird,Next to Hermit Merchant's Shack SoG,"29,000",Twinbird Kite Shield,120,"🔥 Fogo, Dano de 🏏 Acerto (Strike).",Imune a Morte.   🙌🏻 Sagrado.  🩸 Sangramento (moderado).
Capital Outskirts,Dung Eater,"Lake North of Leyndell, Royal Capital",0,Sword of Milos,N/A,"🩸 Sangramento, ❄️ Congelamento.",Morte.  🩸 Sangramento.
Caria Manor,Royal Knight Loretta,End of Legacy Dungeon,"7,500",Loretta's Greatbow; Loretta's Slash,80,"🩸 Sangramento, ❄️ Congelamento, Dano 👊🏻 Físico.","🔷 Magia, 🧊 Gelo."
Castle Morne,Leonine Misbegotten,After Beside the Rampart Gaol SoG,"3,800",Grafted Blade Greatsword,80,"Dano 🙌🏻 Sagrado, ❄️ Congelamento.", 🩸 Sangramento.
Castle Sol,Commander Niall,Castle Sol,"90,000",Veteran's Prosthesis,90,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.","🧊 Gelo, 🩸 Sangramento, ❄️ Congelamento."
Consecrated Snowfield,Putrid Grave Warden Duelist,Consecrated Snowfield Catacombs,"78,000",2x Great Grave Glovewort; Rotten Gravekeeper Cloak,65,"🙌🏻 Sagrado, 🔥 Fogo."," 🩸 Sangramento, ❄️ Congelamento. Imune a  🍁 Podridão Escarlate."
Consecrated Snowfield,Sanguine Noble,Directly north from Yelough Anix Ruins,0,Furlcalling Finger Remedy; Sanguine Noble Set,65,🩸 Sangramento., 🩸 Sangramento.
Consecrated Snowfield,Misbegotten Crusader,Cave of the Forlorn,"93,000",Golden Order Greatsword,80,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Consecrated Snowfield,Night's Cavalry Duo,Guarding caravan near Inner Consecrated Snowfield SoG,"84,000",Night's Cavalry Set; Ancient Dragon Smithing Stone,80,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento e ❄️ Congelamento (variação por arma).
Consecrated Snowfield,"Astel, Stars of Darkness",Yelough Anix Tunnel,"120,000",Meteorite of Astel,120,"🩸 Sangramento, ❄️ Congelamento, Dano 👊🏻 Físico (🤺 Perfurante).","🔷 Magia, Gravidade, 🧊 Gelo. Imune a  🍁 Podridão Escarlate, 🤡 Loucura, 💤 Sono, Morte."
Consecrated Snowfield,Great Wyrm Theodorix,After Cave of The Forlorn,"180,000",3x Dragon Heart,120,"❄️ Congelamento, 🩸 Sangramento.","  🔥 Fogo. Imune a Magma.  🩸 Sangramento, ❄️ Congelamento."
Consecrated Snowfield,Putrid Avatar,Minor Erdtree,"160,000",Ruptured Crystal Tear; Thorny Crystal Tear,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.",  🙌🏻 Sagrado. Imune a  🍁 Podridão Escarlate (ele mesmo aplica).
Consecrated Snowfield,Death Rite Bird,"At the end of frozen river, south-east of Apostate Derelict","220,000",Explosive Ghostflame,120,"Dano 👊🏻 Físico (especialmente Standard), 🩸 Sangramento.",Imune a Morte.   🙌🏻 Sagrado e 🔥 Fogo.
Consecrated Snowfield,"Anastasia, Tarnished-Eater","South of Ordina, Liturgical Town SoG","19,643",Furlcalling Finger Remedy; Somber Ancient Smithing Stone,N/A,"🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
Consecrated Snowfield,Stray Mimic Tear,Hidden in the Hidden Path to the Haligtree,"50,000",Blackflame Monk Amon Ashes,N/A,Fraquezas e Resistências refletem as da sua própria build.,resistências e Fraquezas dependem da sua própria build.
Crumbling Farum Azula,Godskin Duo,Down from Dragon Temple SoG,"170,000",Smithing-Stone Miner's Bell Bearing [4]; Ash of War: Black Flame Tornado,80,"💤 Sono, 🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo (Noble), 🤺 Perfurante (Apostle).  🩸 Sangramento, ❄️ Congelamento."
Crumbling Farum Azula,"Maliketh, The Black Blade",End of the legacy dungeon,"220,000",Remembrance of the Black Blade,80,"❄️ Congelamento, 🩸 Sangramento, 🔷 Magia (leve).","🙌🏻 Sagrado, 🔥 Fogo. Imune a  🍁 Podridão Escarlate, 🟢 Veneno, 🤡 Loucura, 💤 Sono, Morte."
Crumbling Farum Azula,Dragonlord Placidusax,"Beside the Great Bridge SoG, then down, down, down","280,000",Remembrance of the Dragonlord,160,"❄️ Congelamento, 🩸 Sangramento.","⚡ Raio. Imune a  🍁 Podridão Escarlate, Morte."
Crumbling Farum Azula,Recusant Bernahl,Left on the Great Bridge,0,Blasphemous Claw; Devourer's Scepter; Beast Champion Set,N/A,"🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo, 🩸 Sangramento."
Deeproot Depths,Crucible Knight Siluria,Use Spirit Spring to jump on a giant tree,"25,000",Siluria's Tree,80,"🩸 Sangramento, ❄️ Congelamento, 🔷 Magia.","  🙌🏻 Sagrado.  🩸 Sangramento, ❄️ Congelamento."
Deeproot Depths,Lichdragon Fortissax,"Straight from the Across the Roots SoG, enter Fia","90,000",Remembrance of the Lichdragon,140,"🩸 Sangramento, ❄️ Congelamento, 🔷 Magia."," 🔥 Fogo, 🙌🏻 Sagrado, ⚡ Raio. Imune a Morte."
Deeproot Depths,Late Boys,Straight from Across the Roots SoG,"40,000",Fia's Mist,N/A,"🩸 Sangramento, ❄️ Congelamento (Termo não oficial, reflete vulnerabilidade comum de inimigos menores).","Nenhuma resistência notável (nome não oficial, pode ser um tipo de inimigo menor)."
Dragonbarrow,Bell Bearing Hunter,Isolated Merchant's Shack,"50,000",Gravity Stone Peddler's Bell Bearing,80,"🔷 Magia, 🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
Dragonbarrow,Godskin Apostle,Divine Tower of Caelid,"94,000",Godskin Apostle Set; Godslayer's Greatsword,80,"💤 Sono, 🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo (Fase 2) e ⚔️ Corte (Slash).  🩸 Sangramento, ❄️ Congelamento."
Dragonbarrow,Night's Cavalry,Next to Lenne's Rise SoG,"42,000",Bloodhound's Step,80,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento e ❄️ Congelamento (variação por arma).
Dragonbarrow,Black Blade Kindred (Bestial Sanctum),Bestial Sanctum,"88,000",Gargoyle's Blackblade; Gargoyle's Black Halberd,120,"❄️ Congelamento, 🩸 Sangramento, 🔥 Fogo (leve).","🙌🏻 Sagrado, 🔥 Fogo. Imune a Morte."
Dragonbarrow,Flying Dragon Greyll,Next to Farum Greatbridge SoG,"80,000",Dragon Heart,120,"🩸 Sangramento, ❄️ Congelamento.", 🔥 Fogo.  🩸 Sangramento.
Dragonbarrow,Putrid Avatar,Minor Erdtree East,"91,000",Opaline Hardtear; Stonebard Cracked Tear,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.",  🙌🏻 Sagrado. Imune a  🍁 Podridão Escarlate (ele mesmo aplica).
Dragonbarrow,2x Beastman of Farum Azula,Dragonbarrow Cave,"65,000",Flamedrake Talisman +2,65/30,"🔥 Fogo, Dano 🙌🏻 Sagrado, ⚡ Raio.",Imune a ❄️ Congelamento.  🩸 Sangramento (moderado).
Dragonbarrow,Elder Dragon Greyol,In front of Fort Faroth,"70,820",5x Dragon Heart,N/A,Não é um chefe de combate; foco em dano massivo para o 🩸 Sangramento da cabeça.,"Todas as resistências a dano são extremas, mas não é um chefe de combate."
"Elphael, Brace of the Haligtree","Loretta, Knight of the Haligtree",Down the elevator from Haligtree Town SoG,"200,000",Loretta's Mastery; Loretta's War Sickle,80,"🩸 Sangramento, ❄️ Congelamento, Dano 👊🏻 Físico.","🔷 Magia, 🧊 Gelo."
"Elphael, Brace of the Haligtree","Malenia, Blade of Miquella",End of the legacy dungeon,"480,000",Malenia's Great Rune; Remembrance of the Rot Goddess,80,"🩸 Sangramento, ❄️ Congelamento.","🙌🏻 Sagrado, 🔥 Fogo. Imune a  🍁 Podridão Escarlate, 🟢 Veneno, 🤡 Loucura, 💤 Sono."
Forbidden Lands,Night's Cavalry (Forbidden Lands),On the Road,"36,000",Ash of War: Phantom Slash,80,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento e ❄️ Congelamento (variação por arma).
Forbidden Lands,Black Blade Kindred (Forbidden Lands),Guarding Grand Lift of Rold,"60,000",Gargoyle's Black Axe; Gargoyle's Black Blades,120,"❄️ Congelamento, 🩸 Sangramento.","🙌🏻 Sagrado, 🔥 Fogo. Imune a Morte."
Lake of Rot,"Astel, Naturalborn of the Void",Rest in the coffin,"80,000",Remembrance of the Naturalborn,120,"🩸 Sangramento, ❄️ Congelamento, Dano 👊🏻 Físico (🤺 Perfurante).","🔷 Magia, Gravidade, 🧊 Gelo. Imune a  🍁 Podridão Escarlate, 🤡 Loucura, 💤 Sono, Morte."
Lake of Rot,Dragonkin Soldier,In the middle-east of Lake of Rot,"58,000",Dragonscale Blade,120,"Dano de 🤺 Perfuração (Pierce), 🔥 Fogo, 🩸 Sangramento.","⚡ Raio (moderado), ❄️ Congelamento."
Lake of Rot,Baleful Shadow,"Can't miss it, but it's a part of Ranni's questline","8,561",Behold Nothing,N/A,"🩸 Sangramento, ❄️ Congelamento.",Imune a Morte.  🩸 Sangramento.
"Leyndell, Royal Capital",2x Fell Twin,Guarding Divine Tower of East Altus: Gate SoG,"29,000",Omenkiller Rollo,65,"🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
"Leyndell, Royal Capital","Morgott, the Omen King",Next to Queen's Bedchamber SoG,"120,000",Remembrance of the Omen King; Morgott's Great Rune,80,"🩸 Sangramento, ❄️ Congelamento, Dano 👊🏻 Físico.","🙌🏻 Sagrado (Fase 2). Imune a  🍁 Podridão Escarlate, 🟢 Veneno, 💤 Sono, 🤡 Loucura."
"Leyndell, Royal Capital","Mohg, the Omen","Deepest level of the sewers, down the elevator","100,000",Bloodflame Talons,110,"🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo, 🙌🏻 Sagrado. Imune a Morte."
"Leyndell, Royal Capital",Erdtree Avatar,Before Avenue Balcony SoG,"10,062",Lord's Rune,120,"🔥 Fogo, 🩸 Sangramento, ❄️ Congelamento.","  🙌🏻 Sagrado.  🩸 Sangramento, ❄️ Congelamento."
"Leyndell, Royal Capital","Godfrey, First Elden Lord (Golden Shade)",Next to Erdtree Sanctuary SoG,"80,000",Talisman Pouch,120,"❄️ Congelamento, 🩸 Sangramento.","❄️ Congelamento, 🩸 Sangramento."
"Leyndell, Royal Capital",Esgar. Priest of Blood,Leyndell Catacombs,"22,500",Lord of Blood Exultation,N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
"Leyndell, Royal Capital","Vargram, the Raging Wolf",Volcano Manor Marker,0,Raging Wolf Set,N/A,"🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
Limgrave,Soldier of Godrick,Stranded Graveyard,400,Behold nothing,15,Nenhuma fraqueza notável (tutorial).,"Nenhuma resistência notável, serve como tutorial."
Limgrave,Stonedigger Troll,Limgrave Tunnels,"1,800",Roar Medallion,45,"Dano 🙌🏻 Sagrado, ❄️ Congelamento.", 👊🏻 Dano Físico (especialmente Acerto/Strike).  🩸 Sangramento.
Limgrave,2x Demi-Human Chief,Coastal Cave,"1,200",Tailoring Tools; Sewing Needle,65,🔥 Fogo., 🩸 Sangramento e ❄️ Congelamento.
Limgrave,Beastman of Farum Azula,Groveside Cave,"1,000",Flamedrake Talisman,65,"🔥 Fogo, Dano 🙌🏻 Sagrado, ⚡ Raio.",Imune a ❄️ Congelamento.  🩸 Sangramento (moderado).
Limgrave,Bloodhound Knight Darriwil,Forlorn Hound Evergaol,"1,900",Bloodhound's Fang,65,"🔷 Magia, Dano de 🏏 Acerto (Strike).", 🩸 Sangramento e ❄️ Congelamento (pode ser superado).
Limgrave,Grave Warden Duelist,Murkwater Catacombs,"1,700",Banished Knight Engvall,65,"🙌🏻 Sagrado, 🏏 Acerto (Strike).", 🩸 Sangramento e ❄️ Congelamento.
Limgrave,Mad Pumpking Head,Waypoint Ruins,"1,100",Behold nothing,65,"🤺 Perfuração (Pierce), 🩸 Sangramento (no corpo, não no elmo).", 👊🏻 Dano Físico (especialmente em seu elmo).  🩸 Sangramento.
Limgrave,Bell Bearing Hunter,Warmaster's Shack,"2,700",Bone Peddler'S Bell Bearing,80,"🔷 Magia, 🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
Limgrave,Black Knife Assassin,Deathtouched Catacombs,"1,600",Assassin's Crimson Dagger,80,"🩸 Sangramento, ❄️ Congelamento.",Imune a Morte (Death Blight).  🩸 Sangramento.
Limgrave,Crucible Knight,Stormhill Evergaol,"2,100",Aspects of the Crucible: Tail,80,"🩸 Sangramento, ❄️ Congelamento, 🔷 Magia.","  🙌🏻 Sagrado (especialmente sua armadura).  🩸 Sangramento, ❄️ Congelamento."
Limgrave,Erdtree Burial Watchdog,Stormfoot Catacombs,"1,300",Noble Sorcerer Ashes,80,"🏏 Acerto (Strike), 🔥 Fogo, Dano 🙌🏻 Sagrado (menos do que esperaria).","  🤺 Perfuração (Thrust).  🩸 Sangramento, ❄️ Congelamento."
Limgrave,Grafted Scion,Chapel of Anticipation,"3,200",Ornamental Straight Sword; Golden Beast Crest Shield ,80,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Limgrave,Night's Cavalry,Bridge Next to the Agheel Lake North SoG,"2,400",Ash of War: Repeating Thrust,80,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento e ❄️ Congelamento (variação por arma).
Limgrave,Tibia Mariner,Summonwater Village,"2,400","Deathroot, Skeletal Militiaman Ashes",80,"🔥 Fogo, Dano 👊🏻 Físico.", 🩸 Sangramento.
Limgrave,Tree Sentinel,Close to First Steps SoG,"3,200",Golden Halberd,80,"🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento (moderado), ❄️ Congelamento (moderado)."
Limgrave,Deathbird,Close to Warmaster's Shack SoG,"2,800",Blue-Feathered Branchsword,120,"🔥 Fogo, Dano de 🏏 Acerto (Strike).",Imune a Morte.   🙌🏻 Sagrado.  🩸 Sangramento (moderado).
Limgrave,Flying Dragon Agheel,Agheel Lake,"5,000",Dragon Heart,120,"🩸 Sangramento, ❄️ Congelamento."," 🔥 Fogo (óbvio, por ser um dragão de 🔥 Fogo).  🩸 Sangramento."
Limgrave,Guardian Golem,Highroad Cave,"1,700",Blue Dancer Charm,120,🏏 Acerto (Strike)., 👊🏻 Dano Físico (especialmente Acerto/Strike).  🩸 Sangramento.
Limgrave,Ulcerated Tree Spirit,Fringefolk Hero's Grave,"15,000",Golden Seed; Banished Knight Oleg Ashes,120,"🙌🏻 Sagrado, 🩸 Sangramento, ❄️ Congelamento.", 🔥 Fogo. Imune a Morte.
Limgrave,"Anastasia, Tarnished-Eater",Smoldering Church,0,Furlcalling Finger Remedy; Sacred Scorpion Charm,N/A,"🩸 Sangramento, ❄️ Congelamento."," 🩸 Sangramento, ❄️ Congelamento."
Limgrave,Bloody Finger Nerijus,In front of Murkwater Cave,"1,294",Furlcalling Finger Remedy; Reduvia,N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Limgrave,Old Knight Istvan,Volcano Mannor Marker,1828,Rune Arc; Furlcaling Finger Remedy; Scaled Set,N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Limgrave,Patches,Murkwater Cave,0,Leather Set; Spear +7; Patche's Bell Bearing,N/A,Não combate (se rende).,"Não é um chefe de combate tradicional; quando confrontado, ele se rende. Não possui resistências de boss."
Limgrave,Recusant Henricus,In front of Colloseum,338,Hammer Talisman,N/A,"🩸 Sangramento, ❄️ Congelamento.", 🩸 Sangramento.
Liurnia of the Lakes,Bloodhound Knight,Lakeside Crystal Cave,"2,700",Cerulean Amber Medallion,65,"🔷 Magia, Dano de 🏏 Acerto (Strike).", 🩸 Sangramento e ❄️ Congelamento (pode ser superado).
Liurnia of the Lakes,"Bols, Carian Knight",Cuckoo's Evergaol,"4,600",Greatblade Phalanx,65,"Dano 👊🏻 Físico, 🩸 Sangramento, ❄️ Congelamento.",🔷 Magia.
Liurnia of the Lakes,Clearnot Knight,Stillwater Cave,"2,475",Winged Sword Insignia,65,"🩸 Sangramento, ❄️ Congelamento, 🤺 Perfuração (Pierce)."," 🍁 Podridão Escarlate (imune a ser aplicado por ele).  🩸 Sangramento, ❄️ Congelamento."
Liurnia of the Lakes,Onyx Lord,Royal Grave Evergaol,"3,600",Meteorite,65,"🩸 Sangramento, ❄️ Congelamento.","🔷 Magia, Gravidade.  🩸 Sangramento, ❄️ Congelamento."
